,whale,k,pool_ratio,size,duration,search_ratio,gas_fee,performance
0,0.0,0,0.05,100,10,0.2,0.0,0.6606
0,0.0,0,0.05,100,10,0.2,0.05,0.6708
0,0.0,0,0.05,100,10,0.2,0.2,0.648
0,0.0,0,0.05,100,10,0.5,0.0,0.6452
0,0.0,0,0.05,100,10,0.5,0.05,0.6536
0,0.0,0,0.05,100,10,0.5,0.2,0.646
0,0.0,0,0.05,100,10,1.0,0.0,0.6492
0,0.0,0,0.05,100,10,1.0,0.05,0.64
0,0.0,0,0.05,100,10,1.0,0.2,0.648
0,0.0,0,0.2,100,10,0.01,0.0,0.548
0,0.0,0,0.2,100,10,0.01,0.05,0.501
0,0.0,0,0.2,100,10,0.01,0.2,0.4808
0,0.0,0,0.2,100,10,0.05,0.0,0.682
0,0.0,0,0.2,100,10,0.05,0.05,0.693
0,0.0,0,0.2,100,10,0.05,0.2,0.6826
0,0.0,0,0.2,100,10,0.2,0.0,0.7192
0,0.0,0,0.2,100,10,0.2,0.05,0.7204
0,0.0,0,0.2,100,10,0.2,0.2,0.7164
0,0.0,0,0.2,100,10,0.5,0.0,0.671
0,0.0,0,0.2,100,10,0.5,0.05,0.6902
0,0.0,0,0.2,100,10,0.5,0.2,0.6864
0,0.0,0,0.2,100,10,1.0,0.0,0.6702
0,0.0,0,0.2,100,10,1.0,0.05,0.652
0,0.0,0,0.2,100,10,1.0,0.2,0.6694
0,0.0,0,0.5,100,10,0.01,0.0,0.5298
0,0.0,0,0.5,100,10,0.01,0.05,0.5106
0,0.0,0,0.5,100,10,0.01,0.2,0.5802
0,0.0,0,0.5,100,10,0.05,0.0,0.6944
0,0.0,0,0.5,100,10,0.05,0.05,0.6926
0,0.0,0,0.5,100,10,0.05,0.2,0.6902
0,0.0,0,0.5,100,10,0.2,0.0,0.7416
0,0.0,0,0.5,100,10,0.2,0.05,0.7334
0,0.0,0,0.5,100,10,0.2,0.2,0.725
0,0.0,0,0.5,100,10,0.5,0.0,0.665
0,0.0,0,0.5,100,10,0.5,0.05,0.6964
0,0.0,0,0.5,100,10,0.5,0.2,0.685
0,0.0,0,0.5,100,10,1.0,0.0,0.6426
0,0.0,0,0.5,100,10,1.0,0.05,0.6502
0,0.0,0,0.5,100,10,1.0,0.2,0.6604
0,0.0,0,0.05,100,50,0.01,0.0,0.5994
0,0.0,0,0.05,100,50,0.01,0.05,0.5004
0,0.0,0,0.05,100,50,0.01,0.2,0.4808
0,0.0,0,0.05,100,50,0.05,0.0,0.529
0,0.0,0,0.05,100,50,0.05,0.05,0.5014
0,0.0,0,0.05,100,50,0.05,0.2,0.48
0,0.0,0,0.05,100,50,0.2,0.0,0.6174
0,0.0,0,0.05,100,50,0.2,0.05,0.6432
0,0.0,0,0.05,100,50,0.2,0.2,0.6394
0,0.0,0,0.05,100,50,0.5,0.0,0.6442
0,0.0,0,0.05,100,50,0.5,0.05,0.623
0,0.0,0,0.05,100,50,0.5,0.2,0.6336
0,0.0,0,0.05,100,50,1.0,0.0,0.64
0,0.0,0,0.05,100,50,1.0,0.05,0.638
0,0.0,0,0.05,100,50,1.0,0.2,0.6274
0,0.0,0,0.2,100,50,0.01,0.0,0.4192
0,0.0,0,0.2,100,50,0.01,0.05,0.5218
0,0.0,0,0.2,100,50,0.01,0.2,0.5404
0,0.0,0,0.2,100,50,0.05,0.0,0.6682
0,0.0,0,0.2,100,50,0.05,0.05,0.6638
0,0.0,0,0.2,100,50,0.05,0.2,0.6696
0,0.0,0,0.2,100,50,0.2,0.0,0.6814
0,0.0,0,0.2,100,50,0.2,0.05,0.6938
0,0.0,0,0.2,100,50,0.2,0.2,0.6736
0,0.0,0,0.2,100,50,0.5,0.0,0.6798
0,0.0,0,0.2,100,50,0.5,0.05,0.6706
0,0.0,0,0.2,100,50,0.5,0.2,0.6746
0,0.0,0,0.2,100,50,1.0,0.0,0.652
0,0.0,0,0.2,100,50,1.0,0.05,0.662
0,0.0,0,0.2,100,50,1.0,0.2,0.6706
0,0.0,0,0.5,100,50,0.01,0.0,0.5106
0,0.0,0,0.5,100,50,0.01,0.05,0.4506
0,0.0,0,0.5,100,50,0.01,0.2,0.5102
0,0.0,0,0.5,100,50,0.05,0.0,0.6864
0,0.0,0,0.5,100,50,0.05,0.05,0.6832
0,0.0,0,0.5,100,50,0.05,0.2,0.6796
0,0.0,0,0.5,100,50,0.2,0.0,0.7238
0,0.0,0,0.5,100,50,0.2,0.05,0.7134
0,0.0,0,0.5,100,50,0.2,0.2,0.716
0,0.0,0,0.5,100,50,0.5,0.0,0.6872
0,0.0,0,0.5,100,50,0.5,0.05,0.694
0,0.0,0,0.5,100,50,0.5,0.2,0.6956
0,0.0,0,0.5,100,50,1.0,0.0,0.6952
0,0.0,0,0.5,100,50,1.0,0.05,0.6792
0,0.0,0,0.5,100,50,1.0,0.2,0.6828
0,0.0,0,0.05,100,100,0.01,0.0,0.5888
0,0.0,0,0.05,100,100,0.01,0.05,0.4116
0,0.0,0,0.05,100,100,0.01,0.2,0.4894
0,0.0,0,0.05,100,100,0.05,0.0,0.4698
0,0.0,0,0.05,100,100,0.05,0.05,0.5198
0,0.0,0,0.05,100,100,0.05,0.2,0.5294
0,0.0,0,0.05,100,100,0.2,0.0,0.6394
0,0.0,0,0.05,100,100,0.2,0.05,0.6356
0,0.0,0,0.05,100,100,0.2,0.2,0.6348
